Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
sample045,0.180842881023877,0,0,0.0332199311490252,0,0.245532401400928,0.0319448011617233,0,0,0,0.0438244408889802,0,0.0974212119577381,0,0.0441069942276614,0.219290146891555,0.0332725758106829,0,0.0698855576363837,0,0,0.000659057851445288,0,0.296925309748879,0.958773632752235
sample046,0,0.0156990033046832,0,0,0,0.200595222577559,0,0,0,0,0.000887088838882582,0.0218557675432119,0,0.2485519016121,0.0760412971102932,0.237185901920113,0.0226360839818047,0.0350214625474129,0.0724274228502695,0,0,0.0690988477136707,0,0.0639610420578797,1.07391441635107
sample047,0.178087451689953,0,0,0.0449113510356124,0,0.284622487470202,0,0,0,0,0.0417936052547879,0,0.00767188979320197,0.133960903031274,0.0274766455643118,0.233789664212514,0,0.0111077476406984,0.0365782543074457,0,0,0,0,0.334442524691682,0.946152843802757
sample048,0,0.00852937145635235,0.00291329115362595,0,0,0.232969397093905,0,0,0,0,0.0462034767326538,0,0,0.278060866862544,0.0404976935592577,0.328252551824843,0,0.00950960901534303,0.0112916699900301,0,0,0.0417720723114445,0,0.152822191712379,1.04562529617507
sample049,0,0.00745105338156522,0.00440565116956444,0.0578900675804254,0,0.274787487550974,0,0.00155495091082876,0,0,0,0.0372191020002638,0.0737962274119423,0.0584563712437659,0.0337673409557612,0.290896847768184,0.0733411694308677,0.00552564787419273,0.0514201463932775,0,0.0294879363283875,0,0,0.118439896044909,1.03398305117825
sample050,0.0299223025745674,0,0.00254362452652477,0.0374768824522576,0,0.155755655998277,0.0114342210337655,0,0,0,0.0820207302630688,0,0.00331638223123865,0.199404575370147,0.175674437517855,0.240605104748804,0,0,0.0618460832834946,0,0,0,0,0.211306814947532,1.01193751626627
sample051,0.0788197191263085,0,0.0484826697559651,0.0501642287473821,0,0.358432699607832,0,0,0,0,0,0.0536101868623579,0.0442687708904432,0,0.0183262288030123,0.242476082755155,0.0203409276005401,0,0.0511910968204837,0,0.0338873890305198,0,0,0.198355494718319,1.00314566749259
sample052,0.117638010538686,0,0.0267196799609102,0.126296425205367,0,0.285683329282282,0,0,0.000631510324866847,0,0,0.0236795864455812,0.0941061301684761,0.0102994355202985,0.00502579668181152,0.0754837631443201,0.031398936919535,0.025995590351569,0.177041805456297,0,0,0,0,0.175886270005073,1.0122709583953
sample053,0.0186203136945076,0.061810378542967,0,0,0,0.145816019076906,0,0.000957774471811208,0.036273178193715,0,0.0183821663043969,0.0240920280919031,0.0314454601499697,0.248170396445864,0.0189634476347168,0.344858789780663,0.0152220655505979,0,0.0353879820619813,0,0,0,0,0.16014710924089,1.03452834706226
sample054,0.110185012054772,0,0,0.0207935912840268,0,0.276292731829405,0,0,0.016521063312842,0,0.0313190332261016,0.0143894116887456,0.0548331652319721,0,0.00136635373121733,0.275956281337091,0.0116130795854825,0.031448841410733,0.155281435307611,0,0,0,0,0.0134135012853949,1.06824918123395
